Jarea,JcomSize,JcomType,Jcompany,Jdb,Jeducation,Jexperience,JhireCount,JmaxSalary,JminSalary,Jname,JpayTimes,Jrequirements,Jsalary,Jtag,Jtype,Jwelfare
广东-揭阳,50-200,股份制企业,云南泰宇工程咨询有限公司,,大专学历 ,不限经验,,0,0,造价工程师,,,,建筑/房地产/物业/装潢,,
云南-玉溪,10-50,私营/民营企业,云南享趣科技有限公司,,不限学历 ,不限经验,,4.5,3.0,客服经理/主管,,,,互联网/电子商务/游戏,,
云南-玉溪,200-500,私营/民营企业,宏呈通讯,,大专学历 ,不限经验,招聘1-5,0,0,会计助理,,,,电子/微电子技术/半导体,,
云南-大理,500-1000,私营/民营企业,大理佳利集团,,本科学历 ,不限经验,招聘1-5,15.0,10.0,土建工程师,,,,多元化集团公司,,
云南-普洱,50-200,私营/民营企业,途风运业,,不限学历 ,不限经验,,10.0,8.0,普洱货运司机,,,,交通/运输/物流/快递,,
云南-,200-500,私营/民营企业,云南众汇汽车服务有限公司,,大专学历 ,不限经验,招聘1-5,6.0,4.5,上户员,,,,其他行业,,
云南-玉溪,10-50,私营/民营企业,玉溪市新特科技有限公司,,不限学历 ,不限经验,招聘1-5,0,0,车床工,,,,机械制造/机电设备/重工业,,
天津-天津,10-50,私营/民营企业,云南福轩房地产经纪有限公司,,不限学历 ,不限经验,,0,0,房产销售经理,,,,建筑/房地产/物业/装潢,,
云南-文山,50-200,私营/民营企业,文山铂升建设工程项目管理有限公司,,不限学历 ,不限经验,招聘1-5,4.5,3.0,保安,,,,建筑/房地产/物业/装潢,,
云南-楚雄,10-50,私营/民营企业,楚雄市禧灯商贸有限公司,,高中学历 ,不限经验,招聘5-10,8.0,6.0,销售代表,,,,建筑/建材,,
云南-,10-50,私营/民营企业,云南矩坤建筑设计有限公司,,不限学历 ,不限经验,,0,0,专监或监理员,,,,建筑/房地产/物业/装潢,,
江苏-镇江,10-50,私营/民营企业,云南双河科技有限公司,,不限学历 ,不限经验,招聘1-5,0,0,软件工程师,,,,检验/检测/认证,,
云南-楚雄,200-500,私营/民营企业,云南正浩建设工程有限公司,,大专学历 ,不限经验,招聘1-5,6.0,4.5,计量员,,,,建筑/房地产/物业/装潢,,
内蒙古-呼和浩特,500-1000,私营/民营企业,呼和浩特市新途径培训服务有限公司,,本科学历 ,不限经验,招聘50-100,8.0,6.0,公务员考试培训储备讲师（教招方向）,,,,教育/培训/学术/科研,,
